model_id,scope,target,variant,family,seed,domain,image_count,region_count,positive_count,roc_auc,roc_auc_defined_images,pr_auc,pr_auc_defined_images,balanced_accuracy,balanced_accuracy_defined_images,precision,precision_defined_images,recall,recall_defined_images,f1,f1_defined_images,accuracy,accuracy_defined_images,brier,brier_defined_images,ece,ece_defined_images
mixed_groupcv_psnr_benefit_V6_mlp_507,mixed_groupcv,psnr_benefit,V6,mlp,507,real_csig,5,960,8,0.7662705149971702,2,0.20502649610764373,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.01076138600560032,5,0.03518859909199819,5
mixed_groupcv_psnr_benefit_V6_mlp_507,mixed_groupcv,psnr_benefit,V6,mlp,507,synthetic_bsds,50,200,5,0.4444444444444445,3,0.6574074074074073,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.04228569903989507,50,0.12721932977379766,50
mixed_groupcv_psnr_benefit_V7_logistic_505,mixed_groupcv,psnr_benefit,V7,logistic,505,all,55,1160,13,0.40496132805131113,5,0.2769493483407706,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.023483792885233785,55,0.024494509444230823,55
mixed_groupcv_psnr_benefit_V7_logistic_505,mixed_groupcv,psnr_benefit,V7,logistic,505,real_csig,5,960,8,0.6790699867949443,2,0.03959559307414881,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.008308073181858746,5,0.008427959065848815,5
mixed_groupcv_psnr_benefit_V7_logistic_505,mixed_groupcv,psnr_benefit,V7,logistic,505,synthetic_bsds,50,200,5,0.22222222222222224,3,0.4351851851851851,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.025001364855571286,50,0.026101164482069027,50
mixed_groupcv_psnr_benefit_V7_mlp_505,mixed_groupcv,psnr_benefit,V7,mlp,505,all,55,1160,13,0.4656819468024901,5,0.3937871164998167,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.04279817828424253,55,0.13134742783606104,55
mixed_groupcv_psnr_benefit_V7_mlp_505,mixed_groupcv,psnr_benefit,V7,mlp,505,real_csig,5,960,8,0.6642048670062252,2,0.04002334680509734,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.013204888609164852,5,0.04260241693482385,5
mixed_groupcv_psnr_benefit_V7_mlp_505,mixed_groupcv,psnr_benefit,V7,mlp,505,synthetic_bsds,50,200,5,0.3333333333333333,3,0.6296296296296297,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.04575750725175029,50,0.14022192892618476,50
mixed_groupcv_psnr_benefit_V7_mlp_506,mixed_groupcv,psnr_benefit,V7,mlp,506,all,55,1160,13,0.3921373325787588,5,0.2761965455795824,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9628787878787879,55,0.0465346881148227,55,0.13188771937399327,55
mixed_groupcv_psnr_benefit_V7_mlp_506,mixed_groupcv,psnr_benefit,V7,mlp,506,real_csig,5,960,8,0.6470099981135635,2,0.03771358617117822,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.01677286249945147,5,0.054878181800268065,5
mixed_groupcv_psnr_benefit_V7_mlp_506,mixed_groupcv,psnr_benefit,V7,mlp,506,synthetic_bsds,50,200,5,0.22222222222222224,3,0.4351851851851851,3,0.5,3,0.0,50,0.0,50,0.0,50,0.96,50,0.04951087067635982,50,0.1395886731313658,50
mixed_groupcv_psnr_benefit_V7_mlp_507,mixed_groupcv,psnr_benefit,V7,mlp,507,all,55,1160,13,0.46095830975287677,5,0.41486014034083485,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9401515151515152,55,0.08184339395810622,55,0.22779574393255947,55
mixed_groupcv_psnr_benefit_V7_mlp_507,mixed_groupcv,psnr_benefit,V7,mlp,507,real_csig,5,960,8,0.48572910771552535,2,0.05103923974097599,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.027601288936985418,5,0.11440306723622296,5
mixed_groupcv_psnr_benefit_V7_mlp_507,mixed_groupcv,psnr_benefit,V7,mlp,507,synthetic_bsds,50,200,5,0.4444444444444445,3,0.6574074074074073,3,0.5,3,0.0,50,0.0,50,0.0,50,0.935,50,0.08726760446021832,50,0.2391350116021931,50
mixed_groupcv_psnr_benefit_V8_logistic_505,mixed_groupcv,psnr_benefit,V8,logistic,505,all,55,1160,13,0.47307866440294283,5,0.31988112915035943,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.023485856503471042,55,0.02467117489814754,55
mixed_groupcv_psnr_benefit_V8_logistic_505,mixed_groupcv,psnr_benefit,V8,logistic,505,real_csig,5,960,8,0.682696661007357,2,0.049702822875898646,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.008285761537300238,5,0.007883233975501315,5
mixed_groupcv_psnr_benefit_V8_logistic_505,mixed_groupcv,psnr_benefit,V8,logistic,505,synthetic_bsds,50,200,5,0.3333333333333333,3,0.49999999999999994,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.025005866000088126,50,0.02634996899041217,50
mixed_groupcv_psnr_benefit_V8_mlp_505,mixed_groupcv,psnr_benefit,V8,mlp,505,all,55,1160,13,0.41797396717600466,5,0.3569593631329574,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.030133595734612918,55,0.08511290279819868,55
mixed_groupcv_psnr_benefit_V8_mlp_505,mixed_groupcv,psnr_benefit,V8,mlp,505,real_csig,5,960,8,0.211601584606678,2,0.01739840783239359,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.008938746849199366,5,0.0186043976211901,5
mixed_groupcv_psnr_benefit_V8_mlp_505,mixed_groupcv,psnr_benefit,V8,mlp,505,synthetic_bsds,50,200,5,0.5555555555555556,3,0.5833333333333333,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.032253080623154275,50,0.09176375331589952,50
mixed_groupcv_psnr_benefit_V8_mlp_506,mixed_groupcv,psnr_benefit,V8,mlp,506,all,55,1160,13,0.3591114883984154,5,0.3028971606978411,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.030106912419170524,55,0.08004316704485091,55
mixed_groupcv_psnr_benefit_V8_mlp_506,mixed_groupcv,psnr_benefit,V8,mlp,506,real_csig,5,960,8,0.3977787209960385,2,0.021131790633491816,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.008879828815657792,5,0.017477100338995417,5
mixed_groupcv_psnr_benefit_V8_mlp_506,mixed_groupcv,psnr_benefit,V8,mlp,506,synthetic_bsds,50,200,5,0.3333333333333333,3,0.4907407407407407,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.0322296207795218,50,0.08629977371543646,50
