model_id,image_id,domain,coverage,actual_patch_coverage,damage_rate,actual_pixel_coverage,pixel_weighted_damage_rate,selected_count,delivered_damage_fraction,hallucination_rate,psnr_gain,ssim_gain,lpips_gain,dists_gain,psnr_selected,ssim_selected,lpips_selected,dists_selected
mixed_groupcv_psnr_benefit_V1_logistic_505,case4,real_csig,0.3,0.3020833333333333,1.0,0.3020833333333333,1.0,58,0.3020833333333333,,-1.510315642829676,-0.054008692502975464,0.2335188712539344,0.1498686763746985,16.94888144976449,0.2897918093307265,0.5740928336464125,0.32930954982494487
mixed_groupcv_psnr_benefit_V1_logistic_505,case4,real_csig,0.4,0.4010416666666667,1.0,0.4010416666666667,1.0,77,0.4010416666666667,,-1.4863154392470213,-0.0526297026640409,0.22906293420048504,0.14757218066748087,16.826492565152545,0.2878965735435486,0.5737065107791455,0.33145551867299267
mixed_groupcv_psnr_benefit_V1_logistic_505,case4,real_csig,0.5,0.5,1.0,0.5,1.0,96,0.5,,-1.5315694303809722,-0.0556338457390666,0.2284064550573627,0.14607352949678898,16.72796547425564,0.2826740873667101,0.5727779185399413,0.33127348373333615
mixed_groupcv_psnr_benefit_V1_logistic_505,case4,real_csig,0.6,0.6041666666666666,1.0,0.6041666666666666,1.0,116,0.6041666666666666,,-1.5944585543737169,-0.057418373638185964,0.22718797290119633,0.1461505761434292,16.786256505628412,0.2877321817494672,0.5714590613698137,0.3304443739611527
mixed_groupcv_psnr_benefit_V1_logistic_505,case4,real_csig,0.7,0.703125,1.0,0.703125,1.0,135,0.703125,,-1.5997372888997836,-0.05709129649179953,0.22779578500323824,0.14492869818652118,16.796940114056717,0.28880912838158784,0.57149104586354,0.33156119011066576
mixed_groupcv_psnr_benefit_V1_logistic_505,case4,real_csig,0.8,0.8020833333333334,1.0,0.8020833333333334,1.0,154,0.8020833333333334,,-1.6340697220042293,-0.05775972455739975,0.22953589763734247,0.14428804176194326,16.742234539100316,0.2893475843714429,0.5684299633487478,0.3308801848392982
mixed_groupcv_psnr_benefit_V1_logistic_505,case4,real_csig,0.9,0.9010416666666666,1.0,0.9010416666666666,1.0,173,0.9010416666666666,,-1.6442138515279774,-0.05823089819767572,0.2291417190794311,0.14349153655112823,16.729417586712632,0.28751318923310737,0.5691440956440964,0.3319959058237903
mixed_groupcv_psnr_benefit_V1_logistic_505,case4,real_csig,1.0,1.0,1.0,1.0,1.0,192,1.0,,-1.6360139578531594,-0.05843452061526477,0.22786375259359679,0.141355169005692,16.744015321474087,0.28636982245370746,0.5713225171590844,0.3340992589170734
mixed_groupcv_psnr_benefit_V1_logistic_505,case5,real_csig,0.1,0.10416666666666667,1.0,0.10416666666666667,1.0,20,0.10416666666666667,,-3.7281940123570885,-0.11657804250717163,-0.22826160937547685,-0.033322855830192566,24.967871864246813,0.7923535495996475,0.442788890004158,0.2775496542453766
mixed_groupcv_psnr_benefit_V1_logistic_505,case5,real_csig,0.2,0.203125,0.9743589743589743,0.203125,0.9743589743589743,39,0.19791666666666666,,-3.0311320515022233,-0.09673604598412147,-0.20355464970597473,-0.03691709805757572,25.334153784346476,0.7993313960539989,0.422243017416734,0.27885751388011837
mixed_groupcv_psnr_benefit_V1_logistic_505,case5,real_csig,0.3,0.3020833333333333,0.9655172413793104,0.3020833333333333,0.9655172413793104,58,0.2916666666666667,,-2.895053858228494,-0.09314364708703139,-0.18558873036266144,-0.03115827050702325,25.065150120499577,0.7923253764366281,0.4207533299922943,0.2772017953724697
mixed_groupcv_psnr_benefit_V1_logistic_505,case5,real_csig,0.4,0.4010416666666667,0.974025974025974,0.4010416666666667,0.974025974025974,77,0.390625,,-2.877899312785246,-0.0958061914939385,-0.1883753370675077,-0.03136738089772014,24.91456334201188,0.7883777084288659,0.42124399194469697,0.2769142257702815
mixed_groupcv_psnr_benefit_V1_logistic_505,case5,real_csig,0.5,0.5,0.96875,0.5,0.96875,96,0.484375,,-2.743866981895182,-0.09394399697581927,-0.19295013020261345,-0.03085287536183993,25.059050628604393,0.7898630710939566,0.4231281038373709,0.27486890989045304
mixed_groupcv_psnr_benefit_V1_logistic_505,case5,real_csig,0.6,0.6041666666666666,0.9655172413793104,0.6041666666666666,0.9655172413793104,116,0.5833333333333334,,-2.699346305041778,-0.09375849828637879,-0.1974519166798363,-0.0313484041855253,25.20022365242275,0.7902444087225815,0.4227061263959983,0.2740520125833051
mixed_groupcv_psnr_benefit_V1_logistic_505,case5,real_csig,0.7,0.703125,0.9703703703703703,0.703125,0.9703703703703703,135,0.6822916666666666,,-2.675248079002002,-0.09298550773549963,-0.19223597132152428,-0.02950353092617459,25.148159747219836,0.7900618341233995,0.4185916632413864,0.27254420165662413
mixed_groupcv_psnr_benefit_V1_logistic_505,case5,real_csig,0.8,0.8020833333333334,0.974025974025974,0.8020833333333334,0.974025974025974,154,0.78125,,-2.663449876261268,-0.0932392625065593,-0.18940444798329725,-0.025849535093679057,25.04078454225764,0.7873911153186451,0.4213129561636355,0.27304894390044276
mixed_groupcv_psnr_benefit_V1_logistic_505,case5,real_csig,0.9,0.9010416666666666,0.9710982658959537,0.9010416666666666,0.9710982658959537,173,0.875,,-2.5465854141329016,-0.08918409195938551,-0.176570843407249,-0.022900854576529794,25.110404607339607,0.7898140566886505,0.4160301553548416,0.2721719056195606
mixed_groupcv_psnr_benefit_V1_logistic_505,case5,real_csig,1.0,1.0,0.96875,1.0,0.96875,192,0.96875,,-2.519492932320993,-0.08650561328977346,-0.16611841526416052,-0.018118020767966907,24.98225103373864,0.7890109944467744,0.4158011282949398,0.2718916730955243
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_100098,synthetic_bsds,0.1,0.25,1.0,0.3730545786620553,1.0,1,0.25,,-2.0563516428364217,-0.036361753940582275,0.397396057844162,0.08186638355255127,19.571707465296853,0.5506998896598816,0.25711169838905334,0.16871726512908936
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_100098,synthetic_bsds,0.2,0.25,1.0,0.3730545786620553,1.0,1,0.25,,-2.0563516428364217,-0.036361753940582275,0.397396057844162,0.08186638355255127,19.571707465296853,0.5506998896598816,0.25711169838905334,0.16871726512908936
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_100098,synthetic_bsds,0.3,0.5,1.0,0.4677754677754678,1.0,2,0.5,,-2.511865267669249,-0.06429983675479889,0.4221891537308693,0.08811688423156738,18.145996598132182,0.4235183000564575,0.24265267699956894,0.20276013016700745
