image_id,scene_id,domain,region_index,psnr_lq,psnr_restored,ssim_lq,ssim_restored,lpips_lq,lpips_restored,dists_lq,dists_restored,psnr_gain,ssim_gain,lpips_gain,dists_gain,four_metric_majority,psnr_benefit
case1,case1,real_csig,41,26.368100529243414,25.133466459650542,0.8153643608093262,0.7162772417068481,0.2066914141178131,0.5288971662521362,0.25191324949264526,0.33723998069763184,-1.2346340695928717,-0.09908711910247803,-0.3222057521343231,-0.08532673120498657,0,0
case1,case1,real_csig,42,25.740183149445947,23.64852873562784,0.8117272257804871,0.6808720827102661,0.2162170559167862,0.5526400208473206,0.23437100648880005,0.32440733909606934,-2.091654413818109,-0.13085514307022095,-0.33642296493053436,-0.09003633260726929,0,0
case1,case1,real_csig,43,25.8686393101682,23.528800316360176,0.8191991448402405,0.6859813928604126,0.22704178094863892,0.5707263946533203,0.26096630096435547,0.35648101568222046,-2.339838993808023,-0.13321775197982788,-0.3436846137046814,-0.09551471471786499,0,0
case1,case1,real_csig,44,32.98392029148572,30.921825127028768,0.963131308555603,0.8951155543327332,0.08806708455085754,0.3764101266860962,0.19154953956604004,0.3465164303779602,-2.0620951644569487,-0.06801575422286987,-0.28834304213523865,-0.15496689081192017,0,0
case1,case1,real_csig,45,27.43735393040943,26.020729954547832,0.8720070719718933,0.7705392241477966,0.16101402044296265,0.48688197135925293,0.2047286033630371,0.30870842933654785,-1.4166239758615973,-0.10146784782409668,-0.3258679509162903,-0.10397982597351074,0,0
case1,case1,real_csig,46,25.476576148539674,23.859978573307195,0.8279097676277161,0.6883662343025208,0.21103863418102264,0.5364634394645691,0.2435651421546936,0.33275938034057617,-1.616597575232479,-0.1395435333251953,-0.32542480528354645,-0.08919423818588257,0,0
case1,case1,real_csig,47,26.86343440167645,25.05570764869729,0.8548755049705505,0.7331172227859497,0.17217636108398438,0.49540087580680847,0.2183329463005066,0.30953627824783325,-1.8077267529791605,-0.12175828218460083,-0.3232245147228241,-0.09120333194732666,0,0
case1,case1,real_csig,48,45.60633915006066,40.133737031512695,0.9967803955078125,0.9355714321136475,0.020724046975374222,0.30321580171585083,0.09557664394378662,0.30823272466659546,-5.472602118547968,-0.06120896339416504,-0.2824917547404766,-0.21265608072280884,0,0
case1,case1,real_csig,49,42.40273094262725,38.854094880918915,0.9963002800941467,0.9305810332298279,0.028873339295387268,0.30953651666641235,0.09865474700927734,0.3007102608680725,-3.5486360617083363,-0.06571924686431885,-0.2806631773710251,-0.20205551385879517,0,0
case1,case1,real_csig,50,43.67608650621652,39.20467081355345,0.9965378642082214,0.9268779158592224,0.029011348262429237,0.3167072534561157,0.0801895260810852,0.3093131184577942,-4.471415692663072,-0.06965994834899902,-0.2876959051936865,-0.22912359237670898,0,0
